nom_normalise;uuid;nom_exact;niveau;parent;membres;type_groupe
"sous-groupe 1";1fa49968-fea1-46ee-b385-3cf7880a39b3;"SOUS-GROUPE 1";"SOUS_GROUPE";"TERRE DE VICTOIRE";3;meme-niveau
"sous-groupe 1";2094dc3a-50d3-4c8b-a772-45651ed7ee6a;"SOUS-GROUPE 1";"SOUS_GROUPE";"Agneby";4;meme-niveau
"sous-groupe 1";213604aa-491f-46ca-b572-011f66cb9657;"SOUS-GROUPE 1";"SOUS_GROUPE";"TODA";10;meme-niveau
"sous-groupe 1";2149a588-20b6-4291-a1a0-2f645bdbf1a1;"SOUS-GROUPE 1";"SOUS_GROUPE";"Anouanzè";4;meme-niveau
"sous-groupe 1";219cd921-a5e5-4c79-ae68-34762023c5e3;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLEIL";5;meme-niveau
"sous-groupe 1";21bcf024-17c6-4085-a271-7a35d5793a42;"SOUS-GROUPE 1";"SOUS_GROUPE";"SIPIM4";0;meme-niveau
"sous-groupe 1";21d5d7c3-88f0-49b6-bb53-a0a29aa387c5;"SOUS-GROUPE 1";"SOUS_GROUPE";"PALMIER";2;meme-niveau
"sous-groupe 1";21d89f09-a778-4ca2-86dc-f115f3408ddf;"SOUS-GROUPE 1";"SOUS_GROUPE";"SANTAI VILLAGE";4;meme-niveau
"sous-groupe 1";222184ca-13ee-4be6-b579-22048e40dd38;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS";4;meme-niveau
"sous-groupe 1";222d2bab-91ee-4091-b97c-4ab95dda5cab;"SOUS-GROUPE 1";"SOUS_GROUPE";"FLEUR DE LOTUS";1;meme-niveau
"sous-groupe 1";2249720a-3b9f-4d36-a540-1cabbfb105aa;"SOUS-GROUPE 1";"SOUS_GROUPE";"GRAND BIENFAIT";6;meme-niveau
"sous-groupe 1";22a48754-f890-478e-9518-c85dd6aa792f;"SOUS-GROUPE 1";"SOUS_GROUPE";"HARMONIE";9;meme-niveau
"sous-groupe 1";22bb41c4-8bd6-4fae-869e-3f5d98104d1c;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLEIL LEVANT";4;meme-niveau
"sous-groupe 1";22e46c78-5f09-4f66-99f3-2000f618b81b;"SOUS-GROUPE 1";"SOUS_GROUPE";"YOU-MYO CHO-JIN";15;meme-niveau
"sous-groupe 1";232fc53d-f387-4cc0-98b2-d3771af6133f;"SOUS-GROUPE 1";"SOUS_GROUPE";"TIENKOULA";3;meme-niveau
"sous-groupe 1";243813d2-b50a-4074-a11e-7a70894a756d;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS";4;meme-niveau
"sous-groupe 1";251eb83e-7440-48ad-893e-1b001fffeb64;"SOUS-GROUPE 1";"SOUS_GROUPE";"PERSEVERANCE";8;meme-niveau
"sous-groupe 1";25647a40-3e16-4b38-a945-6bee5f8f6d07;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAI DOSHIN";3;meme-niveau
"sous-groupe 1";25d07d98-e4ad-4743-b12b-4915e3ffde36;"SOUS-GROUPE 1";"SOUS_GROUPE";"TERRE DE VICTOIRE";5;meme-niveau
"sous-groupe 1";262efbf1-ebc5-4f38-bfea-2e9115c373a0;"SOUS-GROUPE 1";"SOUS_GROUPE";"SUCCES";11;meme-niveau
"sous-groupe 1";2691eccc-3deb-4b39-be38-471c42a9780f;"SOUS-GROUPE 1";"SOUS_GROUPE";"Faya";4;meme-niveau
